Name,customer_id,gender,age,city,state,pincode,occupation,employer_type,monthly_income,Loan_type,loan_account_number,loan_open_date,disbursal_date,disbursal_channel,sanction_amount,interest_rate,monthly_emi_amount,total_emi_count,emi_paid,months_past_due,dpd_days,last_payment_date,prepayment_flag,foreclosure_flag,outstanding_principal,principal_paid,interest_paid_to_date,cibil_score,total_active_loans,total_closed_loans,enquiries_last_6m,account_status,risk_grade,branch_code,ifsc_code
Saanvi Chatterjee,CUST00032,Male,40,Bengaluru,Karnataka,299694,Self-Employed,Public Sector,50716,Gold Loan,LA2662891257005,2018-04-30,2018-04-30,DSA,993000,10.07,87332.81,12,3,0,0,2018-07-28,True,False,754005.97,238994.03,23004.4,791,2,7,1,Current,B,BR2369,MSBK0325994
Yash Singh,CUST00033,Male,44,Hyderabad,Telangana,720167,Professional,NA,440384,Gold Loan,LA8760106582191,2017-08-28,2017-08-28,Online,2218000,7.25,89277.8,27,20,0,0,2019-04-19,False,False,610111.41,1607888.59,177667.41,742,4,7,0,Current,B,BR3354,MSBK0697162
Vanya Singh,CUST00034,Male,65,Pune,Maharashtra,844833,Student,Proprietorship,7593,Gold Loan,LA5150080927697,2022-11-16,2022-11-16,Branch,633000,11.95,29782.73,24,6,0,0,2023-05-13,False,False,488571.26,144428.74,34267.64,760,3,4,0,Current,B,BR5395,MSBK0928979
Saanvi Aggarwal,CUST00035,Female,46,Gurgaon,Haryana,448896,Salaried,Private,224403,Personal Loan,LA3045703245528,2015-02-06,2015-02-06,DSA,2639000,12.84,125264.63,24,21,1,30,2016-10-23,False,False,367893.06,2271106.94,359450.29,686,1,2,1,SMA-0,C,BR8226,MSBK0233431
Riya Yadav,CUST00036,Male,64,New Delhi,Delhi,218524,Salaried,Proprietorship,142292,Business Loan,LA5288732736006,2019-03-07,2019-03-07,Online,16711000,14.88,415688.91,56,54,0,0,2023-08-12,False,False,816165.95,15894834.05,6552367.09,741,1,8,3,Current,B,BR6445,MSBK0780149
Vihaan Patel,CUST00037,Female,33,Coimbatore,Tamil Nadu,346408,Salaried,NA,115148,Business Loan,LA5561353421012,2017-11-24,2017-11-24,Corporate Tie-up,14471000,14.23,546077.49,32,23,2,67,2019-10-10,False,False,4635529.88,9835470.12,2724312.15,725,2,3,2,SMA-2,D,BR8440,MSBK0453132
Diya Reddy,CUST00038,Male,55,Bhubaneswar,Odisha,607457,Salaried,Government,233068,Personal Loan,LA8344241492594,2022-07-06,2022-07-06,Corporate Tie-up,1186000,12.64,58333.24,23,20,3,93,2024-02-26,False,False,171376.76,1014623.24,152041.56,718,0,6,1,NPA,D,BR5950,MSBK0780710
Pari Banerjee,CUST00039,Female,58,Coimbatore,Tamil Nadu,152702,Retired,Government,29112,Auto Loan,LA6121733667545,2021-12-11,2021-12-11,Branch,2117000,10.45,35354.08,85,2,0,0,2022-02-05,False,False,2083015.6,33984.4,36723.76,761,2,8,0,Current,B,BR9364,MSBK0175919
Diya Bhat,CUST00040,Female,38,Visakhapatnam,Andhra Pradesh,313379,Salaried,Proprietorship,100218,Business Loan,LA2869877444208,2024-01-14,2024-01-14,Online,6532000,13.95,148429.45,62,20,1,40,2025-09-05,False,False,4910236.16,1621763.84,1346825.16,759,1,10,1,SMA-1,C,BR3500,MSBK0359274
Ayaan Mahajan,CUST00041,Female,29,Chandigarh,Chandigarh,465521,Self-Employed,Government,245977,Gold Loan,LA5478260166722,2023-06-05,2023-06-05,DSA,1857000,11.27,75732.51,28,0,0,0,,False,False,1857000.0,0.0,0.0,801,1,9,1,Current,A,BR6416,MSBK0312522
Kunal Chatterjee,CUST00042,Female,44,Noida,Uttar Pradesh,161885,Self-Employed,Public Sector,202249,Business Loan,LA7658842067782,2019-02-12,2019-02-12,Online,16392000,14.21,304888.49,86,20,0,0,2020-10-02,False,False,13908521.73,2483478.27,3614291.53,743,2,10,0,Current,B,BR3080,MSBK0279470
Ananya Patel,CUST00043,Male,62,Coimbatore,Tamil Nadu,467891,Salaried,NA,41910,Business Loan,LA4255745876030,2023-04-14,2023-04-14,Online,6488000,17.53,376440.88,20,20,0,0,2024-12-03,False,False,0.0,6488000.0,1040817.6,725,4,0,2,Closed,B,BR7937,MSBK0980466
Ishita Kaur,CUST00044,Male,60,Pune,Maharashtra,210044,Salaried,Government,88449,Education Loan,LA3424735203363,2023-10-08,2023-10-08,Branch,2780000,10.88,48199.13,82,22,0,0,2025-07-28,False,False,2222937.83,557062.17,503318.69,774,1,1,0,Current,B,BR9304,MSBK0173412
Kabir Gupta,CUST00045,Female,41,Gurgaon,Haryana,176645,Retired,Private,69912,Business Loan,LA6392864213267,2023-04-27,2023-04-27,Online,5629000,16.41,120477.86,75,30,0,0,2025-10-12,False,False,4028882.26,1600117.74,2014218.06,757,1,1,0,Current,B,BR4653,MSBK0361181
Aditya Gupta,CUST00046,Female,63,Ahmedabad,Gujarat,192693,Salaried,NA,128919,Home Loan,LA2769990196210,2017-11-19,2017-11-19,Online,8925000,8.59,72833.36,294,47,3,90,2021-09-26,False,False,8427298.76,497701.24,2925466.68,699,3,11,5,NPA,D,BR8157,MSBK0682699
Pari Gupta,CUST00047,Female,55,Hyderabad,Telangana,842453,Salaried,NA,193043,Education Loan,LA8229554535585,2022-11-04,2022-11-04,Corporate Tie-up,1738000,10.08,21929.64,131,33,1,30,2025-07-19,False,False,1460574.85,277425.15,446252.97,775,1,2,2,SMA-0,B,BR2473,MSBK0119116
Ishita Bansal,CUST00048,Female,39,Kochi,Kerala,669126,Professional,NA,470769,Business Loan,LA5367404908573,2020-03-17,2020-03-17,Corporate Tie-up,15640000,14.03,658210.04,28,21,0,0,2021-12-07,False,False,4399336.72,11240663.28,2581747.56,738,2,9,1,Current,B,BR2178,MSBK0429883
Reyansh Naidu,CUST00049,Male,62,Bengaluru,Karnataka,663333,Salaried,Proprietorship,137369,Education Loan,LA6941149015899,2018-06-21,2018-06-21,Online,1757000,10.29,32482.23,73,41,0,0,2021-11-02,False,False,905647.77,851352.23,480419.2,762,1,8,0,Current,B,BR5061,MSBK0940774
Kabir Ghosh,CUST00050,Female,59,Indore,Madhya Pradesh,555979,Salaried,Public Sector,102058,Personal Loan,LA3311983440410,2018-04-26,2018-04-26,Branch,1374000,19.35,47736.37,39,5,0,0,2018-09-18,False,False,1241904.97,132095.03,106586.82,776,1,6,0,Current,B,BR4569,MSBK0320129
Yash Sharma,CUST00051,Male,64,Visakhapatnam,Andhra Pradesh,757216,Salaried,Proprietorship,69836,Auto Loan,LA1703752633073,2018-12-31,2018-12-31,Branch,973000,9.27,17141.11,75,30,0,0,2021-06-15,False,False,649458.44,323541.56,190691.74,743,2,4,1,Current,B,BR4867,MSBK0861264
Tara Ghosh,CUST00052,Male,54,Hyderabad,Telangana,238899,Professional,NA,107183,Auto Loan,LA4196996217286,2024-10-25,2024-10-25,Online,1429000,11.79,41689.74,42,13,3,100,2025-11-14,True,False,1047580.56,381419.44,160547.18,675,1,8,0,NPA,D,BR8850,MSBK0587462
Saanvi Roy,CUST00053,Female,53,Lucknow,Uttar Pradesh,638457,Salaried,Public Sector,101610,Business Loan,LA9300388346825,2015-04-12,2015-04-12,Online,14248000,17.24,706097.55,24,22,4,130,2017-01-27,False,False,1382334.96,12865665.04,2668481.06,618,1,10,1,NPA,D,BR9143,MSBK0428822
Aditya Patel,CUST00054,Male,32,Bhopal,Madhya Pradesh,611106,Professional,Private,241315,Business Loan,LA4050291224238,2019-03-01,2019-03-01,Branch,11015000,17.28,378404.73,38,1,0,0,2019-03-30,False,False,10795211.27,219788.73,158616.0,788,4,12,1,Current,B,BR4116,MSBK0785533
Mira Shetty,CUST00055,Female,60,Chandigarh,Chandigarh,536644,Self-Employed,Government,192756,Auto Loan,LA7382696716488,2021-07-22,2021-07-22,Online,1929000,9.29,49118.14,47,6,0,0,2022-01-18,False,False,1719882.33,209117.67,85591.17,752,4,5,0,Current,B,BR3966,MSBK0876422
Vivaan Bhat,CUST00056,Female,55,Indore,Madhya Pradesh,727775,Salaried,NA,69219,Personal Loan,LA7288089255620,2015-01-22,2015-01-22,DSA,275000,17.32,6549.54,65,52,5,160,2019-04-28,False,False,77128.29,197871.71,142704.37,672,1,10,0,NPA,D,BR5655,MSBK0401254
Kunal Sharma,CUST00057,Male,40,Mumbai,Maharashtra,243546,Salaried,Government,188636,Business Loan,LA8306900488989,2021-01-25,2021-01-25,Online,2960000,17.66,164879.66,21,6,0,0,2021-07-21,False,False,2204777.65,755222.35,234055.61,753,1,8,2,Current,B,BR8513,MSBK0705811
Aadhya Mahajan,CUST00058,Female,42,Indore,Madhya Pradesh,449004,Professional,Private,231019,Gold Loan,LA5396593798175,2018-03-12,2018-03-12,DSA,2114000,7.26,139021.97,16,16,1,33,2019-06-30,False,False,0.0,2114000.0,110351.52,731,1,5,1,Closed,C,BR9393,MSBK0299775
Arjun Khan,CUST00059,Female,67,Indore,Madhya Pradesh,555002,Salaried,Private,178702,Education Loan,LA3071407167172,2024-08-21,2024-08-21,Online,1297000,12.89,19281.54,120,17,2,63,2026-01-10,False,False,1197805.75,99194.25,228591.93,756,2,9,1,SMA-2,D,BR5772,MSBK0658155
Aarav Kulkarni,CUST00060,Female,22,Chennai,Tamil Nadu,808451,Self-Employed,Public Sector,155246,Home Loan,LA3774500868151,2016-08-14,2016-08-14,Online,6755000,10.4,69852.29,211,86,1,30,2023-09-02,False,False,5319126.28,1435873.72,4571423.22,726,0,6,5,SMA-0,B,BR1758,MSBK0288280
Riya Thakur,CUST00061,Female,26,Noida,Uttar Pradesh,358283,Retired,NA,8789,Home Loan,LA8213501882461,2023-03-04,2023-03-04,Branch,9042000,8.85,78573.81,257,15,0,0,2024-05-22,False,False,8854156.71,187843.29,990763.86,756,4,2,0,Current,B,BR3528,MSBK0467716
Nisha Mahajan,CUST00062,Female,44,New Delhi,Delhi,420375,Salaried,NA,145441,Education Loan,LA7169394094115,2022-01-21,2022-01-21,Corporate Tie-up,327000,9.29,11576.02,32,10,0,0,2022-11-17,False,False,233338.19,93661.81,22098.39,778,1,12,1,Current,B,BR4842,MSBK0609414
Riya Ghosh,CUST00063,Male,65,Ahmedabad,Gujarat,673905,Salaried,NA,44962,Gold Loan,LA6425756755104,2016-06-30,2016-06-30,Corporate Tie-up,870000,8.9,54659.79,17,11,0,0,2017-05-21,True,False,319611.11,550388.89,50868.8,773,4,8,5,Current,B,BR7156,MSBK0525993
Aditya Singh,CUST00064,Female,40,New Delhi,Delhi,332119,Self-Employed,Proprietorship,49740,Auto Loan,LA7996902623055,2021-06-25,2021-06-25,DSA,2336000,10.18,55744.99,52,30,0,0,2023-12-09,False,False,1114452.94,1221547.06,450802.64,747,1,3,1,Current,B,BR1048,MSBK0165023
Anika Thakur,CUST00065,Female,58,Lucknow,Uttar Pradesh,650700,Self-Employed,Proprietorship,141450,Gold Loan,LA1857587439743,2018-02-20,2018-02-20,DSA,590000,8.63,19622.87,34,8,1,30,2018-10-16,False,False,463819.78,126180.22,30802.74,737,3,5,0,SMA-0,B,BR7150,MSBK0247149
Aisha Mukherjee,CUST00066,Male,22,Lucknow,Uttar Pradesh,558694,Salaried,NA,75881,Home Loan,LA1309533564994,2024-01-24,2024-01-24,DSA,4913000,8.56,42959.4,238,1,2,63,2024-02-20,False,False,4905086.67,7913.33,35046.07,699,3,12,0,SMA-2,D,BR6552,MSBK0473399
Tara Patel,CUST00067,Male,31,Pune,Maharashtra,757063,Professional,Proprietorship,344805,Education Loan,LA4070977728699,2023-12-28,2023-12-28,DSA,1343000,9.27,18272.78,109,8,0,0,2024-08-19,False,False,1278080.11,64919.89,81262.35,802,2,2,3,Current,A,BR7010,MSBK0366798
Dhruv Thakur,CUST00068,Female,21,Jaipur,Rajasthan,671819,Salaried,NA,235633,Education Loan,LA9362619992468,2015-10-04,2015-10-04,Online,283000,9.82,11724.69,27,26,0,0,2017-11-19,False,False,11629.52,271370.48,33471.46,733,6,12,0,Current,B,BR4239,MSBK0742281
Ira Roy,CUST00069,Male,51,Mumbai,Maharashtra,846537,Professional,NA,78288,Business Loan,LA6557765537447,2022-11-27,2022-11-27,Corporate Tie-up,12510000,17.06,397630.85,42,5,1,37,2023-04-24,False,False,11379405.42,1130594.58,857559.67,754,2,0,0,SMA-1,C,BR9714,MSBK0823562
Aisha Singh,CUST00070,Female,29,Gurgaon,Haryana,774888,Salaried,Proprietorship,179444,Auto Loan,LA6703254343272,2019-02-13,2019-02-13,DSA,1208000,10.03,18604.84,94,16,0,0,2020-06-05,False,False,1062996.85,145003.15,152674.29,747,2,7,1,Current,B,BR6486,MSBK0925029
Aisha Aggarwal,CUST00071,Female,39,Bengaluru,Karnataka,304176,Retired,NA,10714,Gold Loan,LA5920043041806,2023-07-09,2023-07-09,DSA,1357000,9.61,46957.41,33,21,0,0,2025-03-28,False,False,535221.03,821778.97,164326.64,779,1,9,0,Current,B,BR2689,MSBK0911079
Aarohi Yadav,CUST00072,Male,58,Noida,Uttar Pradesh,803576,Professional,Government,166693,Auto Loan,LA9319362441889,2021-03-08,2021-03-08,DSA,219000,10.14,7839.37,32,22,0,0,2022-12-23,False,False,74870.22,144129.78,28336.36,787,4,9,1,Current,B,BR2361,MSBK0598050
Ananya Gupta,CUST00073,Female,45,Kochi,Kerala,734217,Professional,Public Sector,255292,Gold Loan,LA9496018693351,2021-07-19,2021-07-19,DSA,1381000,9.45,159549.51,9,7,0,0,2022-02-13,False,False,315368.85,1065631.15,51215.42,733,2,10,2,Current,B,BR5651,MSBK0387388
Yash Chatterjee,CUST00074,Male,55,New Delhi,Delhi,186246,Salaried,Proprietorship,43499,Business Loan,LA8668077126209,2025-03-09,2025-03-09,Corporate Tie-up,3400000,17.65,140988.59,30,0,0,0,,False,False,3400000.0,0.0,0.0,770,3,6,0,Current,B,BR9095,MSBK0609668
Vihaan Sharma,CUST00075,Male,57,Kochi,Kerala,116214,Salaried,Proprietorship,236182,Education Loan,LA6433608394774,2018-04-08,2018-04-08,Branch,411000,13.06,7436.31,85,28,0,0,2020-07-26,False,False,314605.98,96394.02,111822.66,772,3,7,2,Current,B,BR5276,MSBK0721076
Kabir Roy,CUST00076,Female,26,Gurgaon,Haryana,446024,Professional,Proprietorship,437307,Personal Loan,LA5737371677329,2016-08-22,2016-08-22,Branch,898000,15.79,56355.98,18,16,0,0,2017-12-10,False,False,110525.71,787474.29,114221.39,742,1,1,2,Current,B,BR6538,MSBK0872800
Mira Thakur,CUST00077,Female,37,Noida,Uttar Pradesh,318760,Salaried,Public Sector,185225,Home Loan,LA8649981243978,2020-07-29,2020-07-29,Branch,7251000,8.78,69929.91,195,11,0,0,2021-06-19,False,False,7058412.84,192587.16,576641.85,782,1,9,0,Current,B,BR7150,MSBK0543407
Ishaan Kulkarni,CUST00078,Male,42,Lucknow,Uttar Pradesh,170460,Self-Employed,NA,165542,Auto Loan,LA3956004638454,2021-07-27,2021-07-27,Online,1759000,9.8,34192.52,67,13,1,33,2022-08-21,False,False,1488228.38,270771.62,173731.14,777,2,5,0,SMA-1,C,BR7352,MSBK0222686
Yash Roy,CUST00079,Female,36,Patna,Bihar,782490,Self-Employed,Private,330597,Education Loan,LA2307481527837,2018-10-25,2018-10-25,Online,1528000,12.25,26975.72,85,33,0,0,2021-07-10,False,False,1084227.14,443772.86,446425.9,770,2,12,3,Current,B,BR3955,MSBK0151638
Rohan Iyer,CUST00080,Male,64,Lucknow,Uttar Pradesh,481091,Salaried,Government,190394,Business Loan,LA3062676421311,2021-01-19,2021-01-19,Branch,16237000,12.07,238887.4,115,34,0,0,2023-11-01,False,False,13191647.04,3045352.96,5076818.64,764,3,0,1,Current,B,BR5546,MSBK0705770
Riya Gupta,CUST00081,Female,19,Coimbatore,Tamil Nadu,747877,Self-Employed,Private,362042,Home Loan,LA6255570283002,2020-12-12,2020-12-12,Corporate Tie-up,15083000,9.21,125131.67,339,35,1,35,2023-10-27,False,False,14708429.63,374570.37,4005038.08,747,2,10,2,SMA-1,C,BR1477,MSBK0462933
Jia Roy,CUST00082,Male,23,Chennai,Tamil Nadu,120050,Salaried,Proprietorship,91379,Personal Loan,LA8043215960268,2023-06-18,2023-06-18,Branch,2402000,17.25,70653.09,47,20,0,0,2025-02-02,False,False,1571794.11,830205.89,582855.91,748,2,4,0,Current,B,BR3875,MSBK0771948
Ira Roy,CUST00083,Female,37,Noida,Uttar Pradesh,340369,Salaried,Proprietorship,118033,Auto Loan,LA1767903919965,2019-01-22,2019-01-22,Online,2758000,8.84,41381.85,92,7,0,0,2019-08-16,False,False,2607248.9,150751.1,138921.85,776,2,0,2,Current,B,BR9468,MSBK0842307
Saanvi Mehta,CUST00084,Male,30,Ahmedabad,Gujarat,575961,Student,Government,9007,Education Loan,LA4607417502027,2023-07-13,2023-07-13,DSA,591000,14.33,11032.05,86,0,0,0,,False,False,591000.0,0.0,0.0,769,1,1,3,Current,B,BR1354,MSBK0343597
Pari Bhat,CUST00085,Male,29,Hyderabad,Telangana,342131,Salaried,Public Sector,78560,Education Loan,LA1890304849716,2025-07-18,2025-07-18,Online,3801000,9.52,53812.4,104,6,0,0,2026-01-09,False,False,3656207.98,144792.02,178082.38,789,3,0,1,Current,B,BR2247,MSBK0359046
Aarav Bansal,CUST00086,Male,62,Noida,Uttar Pradesh,614182,Salaried,Proprietorship,207593,Home Loan,LA5300266913269,2023-02-14,2023-02-14,Branch,8048000,10.43,75692.2,298,7,1,30,2023-09-08,False,False,8006745.01,41254.99,488590.41,751,3,7,0,SMA-0,B,BR9391,MSBK0364819
